Folder,H2O_mol_pre_REACT,H2O_mol_pre_PROD,H2O_mol_NEB,react_freq,prod_freq,Opt_method,N_images,CI_image,inter_min,OPT_TS,Freq_TS,N_imm_freq,Freq_imm_TS,react_to_prod,prod_to_react,BE0_post_react,BE0_post_prod,r_to_p_barrier,react_to_prod_ZPE,p_to_r_barrier,prod_to_react_ZPE,Distance
0_42,7,4,7.0,Real,Real,FIRE,5,3,False,False,True,1,-57.3,15.218972698693165,0.0491960073896962,23.43905515900036,7.716768423680695,15.22976,14.315223088724338,0.0418400000000005,0.5921756624127283,3.659983218591977
0_369,7,7,9.0,Real,Real,FIRE,5,4,False,True,True,1,-80.11,14.879706944509508,4.422162463834638,20.485518321544333,7.664032455473395,16.861520000000002,14.664415944456096,6.401520000000001,3.639317128963512,4.20656566120818
1_20,5,8,9.0,Real,Real,FIRE,5,3,False,False,True,1,-104.31,10.423223373967858,6.696010224684414,15.483879916906709,16.60763487300295,10.418160000000002,6.119503774565828,6.694400000000002,3.8024991852560106,4.435437114831156
1_121,5,10,12.0,Real,Real,FIRE,5,4,False,False,True,1,-138.6,13.048928398930911,7.979685547235476,17.33561314699822,15.06989026698828,13.05408,9.304545319095723,7.991440000000001,5.797343692530831,4.394347247007553
1_180,5,5,8.0,Real,Real,FIRE,5,3,False,True,True,1,-178.95,17.943297737238254,18.25770459142302,17.908228645081177,22.504422042583165,20.37608,13.33649041738363,20.710800000000003,13.559556126043844,3.700490056413754
1_210,5,6,7.0,Real,Real,FIRE,5,4,True,False,True,1,-121.77,18.167521228411378,0.9374110509572802,14.869698351122508,3.977409314116524,18.15856,12.409957258447434,0.9204800000000012,-1.5846442493015047,3.5776352158921756
1_372,5,4,8.0,Real,Real,FIRE,5,4,False,False,True,1,-145.71,16.673438771289852,9.742918905930424,17.91376261561978,11.528465858511211,16.65232,13.23797202115827,9.70688,7.1852618254869185,3.899553929560311
2_164,3,7,7.0,Real,Real,FIRE,5,3,False,False,True,1,-85.16,4.313547700111144,11.52803227027755,17.152499998894662,26.585196947315826,4.30952,0.2075282505383029,11.506,7.934247870515833,4.699459334146281
2_204,3,8,9.0,Real,Real,FIRE,5,2,False,False,True,1,-85.49,12.256915319763038,10.636406940053348,14.451986983334372,12.919410943590409,12.25912,9.524925040714834,10.62736,9.061868335754298,5.067761504982262
2_326,3,11,11.0,Real,Real,FIRE,5,2,False,False,True,1,-119.22,5.9101289544257725,15.072632384744338,17.230220968035166,20.210894047195595,5.89944,2.2616553901573297,15.0624,11.258883595400675,4.978697730309079
